ID,Description,Flour_Code,Type,Shape,Diameter_Category,Dry_Digest_Code,Dry_Digest_Description,Liq_Digest_Code,Liq_Digest_Description,TSS_Concat,DLD_Concat,Buyable,Minimum_Run_Size,Diameter
21028,PAW GF SENIOR DUCK DOG BULK,F1406,DUCK,DISC,MAX 10.00,0,0,0,0,DUCK - DISC - MAX 10.00,0 - 0,FALSE,20000.0,0
EM1159B,MEAT OII ORG MDM CKN BLND GRND,NONE,0,0,0,0,0,0,0,0 - 0 - 0,0 - 0,False,0.0,0
EM1160B,MEAT OII ABF MDM CKN BLND GRND,NONE,0,0,0,0,0,0,0,0 - 0 - 0,0 - 0,False,0.0,0
EM1161B,MEAT OII ABF MDM TKY BLND GRND,NONE,0,0,0,0,0,0,0,0 - 0 - 0,0 - 0,False,0.0,0
EM1162B,MEAT OII MDM WH FSH BLND GRND,NONE,0,0,0,0,0,0,0,0 - 0 - 0,0 - 0,False,0.0,0
21037,PAW GF ADULT SALMON DOG BULK,F1403,FISH,CYLINDER,MAX 10.00,0,0,0,0,FISH - CYLINDER - MAX 10.00,0 - 0,FALSE,20000.0,0
21036,PAW GF PUPPY CHICKEN BULK,F1407,POULTRY,CYLINDER,MAX 8.00,0,0,0,0,POULTRY - CYLINDER - MAX 8.00,0 - 0,FALSE,20000.0,0
21035,PAW GF ADLT-LB PUP TURKEY BULK,F1408,POULTRY,CYLINDER,MAX 10.00,0,0,0,0,POULTRY - CYLINDER - MAX 10.00,0 - 0,FALSE,20000.0,0
W21003,ATI REGIME LARGE KIB WIP,NONE,0,0,0,0,0,0,0,0 - 0 - 0,0 - 0,FALSE,0.0,0
W21028,PAW GF SENIOR DUCK DOG WIP,NONE,0,0,0,0,0,0,0,0 - 0 - 0,0 - 0,FALSE,0.0,0
EM1064B,MEAT MDM CHKN & LIVR BLND GRND,NONE,0,0,0,0,0,0,0,0 - 0 - 0,0 - 0,False,0.0,0
21046,BBC BASICS SALMON DOG BULK,F8311,FISH,TRIANGLE,MAX 13.00,0,0,0,0,FISH - TRIANGLE - MAX 13.00,0 - 0,FALSE,40000.0,0
W21046,BBC BASICS SALMON DOG WIP,NONE,0,0,0,0,0,0,0,0 - 0 - 0,0 - 0,FALSE,0.0,0
21056,NLE CANINE SARDINE BULK,F1078,FISH,DISC,MAX 10.00,0,0,0,0,FISH - DISC - MAX 10.00,0 - 0,FALSE,0.0,0
W21056,NLE CANINE SARDINE WIP,NONE,0,0,0,0,0,0,0,0 - 0 - 0,0 - 0,FALSE,0.0,0
21057,BBC BASICS SR TURKEY DOG BULK,F6569,POULTRY,TRIANGLE,MAX 13.00,0,0,0,0,POULTRY - TRIANGLE - MAX 13.00,0 - 0,FALSE,40000.0,0
W21057,BBC BASICS SR TURKEY DOG WIP,NONE,0,0,0,0,0,0,0,0 - 0 - 0,0 - 0,FALSE,0.0,0
21059,NLE K9 VENISON BULK,F1077,VENISON,DISC,MAX 10.00,0,0,0,0,VENISON - DISC - MAX 10.00,0 - 0,FALSE,0.0,0
